time              E              U              K
0     -0.0213487     -0.0280873     0.00673864
5    -0.00520245     -0.0119391     0.00673662
10    -0.00520245     -0.0119392     0.00673672
15    -0.00520245     -0.0119393     0.00673689
20    -0.00520245     -0.0119396     0.00673712
25    -0.00520245     -0.0119399     0.00673742
30    -0.00520245     -0.0119402     0.00673779
35    -0.00520245     -0.0119407     0.00673822
40    -0.00520245     -0.0119412     0.00673872
45    -0.00520245     -0.0119417     0.00673929
50    -0.00520245     -0.0119424     0.00673992
55    -0.00520245     -0.0119431     0.00674062
60    -0.00520245     -0.0119438     0.00674139
65    -0.00520245     -0.0119447     0.00674222
70    -0.00520245     -0.0119456     0.00674312
75    -0.00520245     -0.0119465     0.00674409
80    -0.00520245     -0.0119476     0.00674513
85    -0.00520245     -0.0119487     0.00674623
90    -0.00520245     -0.0119498      0.0067474
95    -0.00520245     -0.0119511     0.00674863
100    -0.00520245     -0.0119524     0.00674994
105    -0.00520245     -0.0119538     0.00675131
110    -0.00520245     -0.0119552     0.00675275
115    -0.00520245     -0.0119567     0.00675425
120    -0.00520245     -0.0119583     0.00675583
125    -0.00520245     -0.0119599     0.00675747
130    -0.00520245     -0.0119616     0.00675918
135    -0.00520245     -0.0119634     0.00676095
140    -0.00520245     -0.0119652      0.0067628
145    -0.00520245     -0.0119672     0.00676471
150    -0.00520245     -0.0119691     0.00676669
155    -0.00520245     -0.0119712     0.00676874
160    -0.00520244     -0.0119733     0.00677086
165    -0.00520244     -0.0119755     0.00677304
170    -0.00520243     -0.0119777      0.0067753
175    -0.00520241       -0.01198     0.00677762
180     -0.0052024     -0.0119824     0.00678001
185    -0.00520235     -0.0119848     0.00678247
190    -0.00520226     -0.0119873       0.006785
195    -0.00520221     -0.0119898      0.0067876
200    -0.00520214     -0.0119924     0.00679027
205    -0.00520203      -0.011995     0.00679301
210    -0.00520194     -0.0119978     0.00679582
215    -0.00520177     -0.0120005      0.0067987
220     -0.0052016     -0.0120032     0.00680165
225    -0.00520151     -0.0120062     0.00680467
230    -0.00520133     -0.0120091     0.00680776
235    -0.00520111      -0.012012     0.00681092
240    -0.00520094     -0.0120151     0.00681416
245    -0.00520077     -0.0120182     0.00681746
250    -0.00520041     -0.0120212     0.00682084
255    -0.00520022     -0.0120245     0.00682428
260    -0.00519985     -0.0120276      0.0068278
265    -0.00519944     -0.0120308      0.0068314
270    -0.00519914     -0.0120342     0.00683506
275    -0.00519879     -0.0120376      0.0068388
280    -0.00519838      -0.012041     0.00684261
285    -0.00519799     -0.0120445      0.0068465
290    -0.00519755      -0.012048     0.00685045
295    -0.00519717     -0.0120517     0.00685449
300    -0.00519672     -0.0120553     0.00685859
305    -0.00519627      -0.012059     0.00686277
310    -0.00519575     -0.0120628     0.00686703
315    -0.00519533     -0.0120667     0.00687136
320    -0.00519484     -0.0120706     0.00687576
325    -0.00519428     -0.0120745     0.00688024
330    -0.00519393     -0.0120787      0.0068848
335    -0.00519366     -0.0120831     0.00688943
340    -0.00519319     -0.0120873     0.00689414
345    -0.00519273     -0.0120917     0.00689892
350    -0.00519225      -0.012096     0.00690378
355    -0.00519178     -0.0121005     0.00690872
360    -0.00519135     -0.0121051     0.00691374
365    -0.00519084     -0.0121097     0.00691883
370    -0.00519035     -0.0121143       0.006924
375    -0.00518984     -0.0121191     0.00692925
380    -0.00518953     -0.0121241     0.00693457
385    -0.00518911     -0.0121291     0.00693998
390    -0.00518877     -0.0121342     0.00694546
395    -0.00518837     -0.0121394     0.00695103
400    -0.00518791     -0.0121446     0.00695667
405    -0.00518741     -0.0121498     0.00696239
410    -0.00518702     -0.0121552      0.0069682
415    -0.00518641     -0.0121605     0.00697408
420      -0.005186      -0.012166     0.00698005
425     -0.0051855     -0.0121716     0.00698609
430    -0.00518512     -0.0121773     0.00699222
435    -0.00518469     -0.0121831     0.00699843
440    -0.00518426      -0.012189     0.00700473
445    -0.00518382     -0.0121949      0.0070111
450    -0.00518337     -0.0122009     0.00701756
455    -0.00518294     -0.0122071     0.00702411
460    -0.00518257     -0.0122133     0.00703074
465    -0.00518214     -0.0122196     0.00703745
470    -0.00518168     -0.0122259     0.00704425
475     -0.0051813     -0.0122324     0.00705113
480    -0.00518087      -0.012239      0.0070581
485    -0.00518056     -0.0122457     0.00706515
490    -0.00518015     -0.0122524      0.0070723
495    -0.00517974     -0.0122593     0.00707953
500    -0.00517933     -0.0122662     0.00708684
505    -0.00517902     -0.0122733     0.00709425
510    -0.00517868     -0.0122804     0.00710174
515    -0.00517832     -0.0122877     0.00710933
520    -0.00517794     -0.0122949       0.007117
525    -0.00517768     -0.0123024     0.00712477
530    -0.00517722     -0.0123098     0.00713262
535    -0.00517688     -0.0123174     0.00714057
540    -0.00517657     -0.0123252      0.0071486
545    -0.00517623      -0.012333     0.00715673
550    -0.00517581     -0.0123408     0.00716496
555    -0.00517547     -0.0123487     0.00717327
560    -0.00517506     -0.0123567     0.00718169
565    -0.00517472     -0.0123649     0.00719019
570    -0.00517437     -0.0123732     0.00719879
575    -0.00517409     -0.0123816     0.00720749
580    -0.00517382     -0.0123901     0.00721628
585    -0.00517356     -0.0123987     0.00722517
590    -0.00517325     -0.0124074     0.00723416
595    -0.00517292     -0.0124162     0.00724325
600    -0.00517259      -0.012425     0.00725243
605    -0.00517243     -0.0124342     0.00726172
610    -0.00517211     -0.0124432     0.00727111
615    -0.00517177     -0.0124524     0.00728059
620    -0.00517148     -0.0124617     0.00729018
625    -0.00517112      -0.012471     0.00729988
630    -0.00517076     -0.0124804     0.00730967
635    -0.00517049     -0.0124901     0.00731957
640    -0.00517019     -0.0124998     0.00732957
645    -0.00516991     -0.0125096     0.00733968
650    -0.00516962     -0.0125195      0.0073499
655    -0.00516938     -0.0125296     0.00736022
660    -0.00516905     -0.0125397     0.00737065
665     -0.0051687     -0.0125499     0.00738119
670    -0.00516841     -0.0125603     0.00739184
675    -0.00516816     -0.0125708      0.0074026
680    -0.00516781     -0.0125813     0.00741347
685    -0.00516751      -0.012592     0.00742446
690    -0.00516723     -0.0126028     0.00743556
695    -0.00516702     -0.0126138     0.00744677
700    -0.00516683     -0.0126249     0.00745809
705    -0.00516659     -0.0126361     0.00746953
710    -0.00516643     -0.0126475     0.00748109
715    -0.00516613     -0.0126589     0.00749276
720    -0.00516582     -0.0126704     0.00750456
725    -0.00516559     -0.0126821     0.00751647
730    -0.00516534     -0.0126938     0.00752851
735    -0.00516506     -0.0127057     0.00754066
740    -0.00516474     -0.0127177     0.00755294
745    -0.00516457     -0.0127299     0.00756534
750    -0.00516436     -0.0127422     0.00757787
755    -0.00516417     -0.0127547     0.00759052
760    -0.00516395     -0.0127673      0.0076033
765    -0.00516368     -0.0127799     0.00761621
770    -0.00516343     -0.0127927     0.00762925
775    -0.00516323     -0.0128056     0.00764242
780    -0.00516303     -0.0128188     0.00765572
785    -0.00516288      -0.012832     0.00766915
790    -0.00516272     -0.0128454     0.00768272
795     -0.0051624     -0.0128588     0.00769642
800    -0.00516219     -0.0128724     0.00771026
805    -0.00516201     -0.0128862     0.00772424
810    -0.00516188     -0.0129002     0.00773835
815     -0.0051616     -0.0129142     0.00775261
820    -0.00516142     -0.0129284     0.00776701
825    -0.00516124     -0.0129428     0.00778155
830    -0.00516111     -0.0129573     0.00779624
835    -0.00516094      -0.012972     0.00781107
840    -0.00516073     -0.0129868     0.00782605
845    -0.00516056     -0.0130017     0.00784118
850    -0.00516041     -0.0130169     0.00785646
855    -0.00516023     -0.0130321     0.00787189
860    -0.00515999     -0.0130475     0.00788748
865    -0.00515975      -0.013063     0.00790322
870    -0.00515959     -0.0130787     0.00791912
875    -0.00515943     -0.0130946     0.00793518
880    -0.00515918     -0.0131106      0.0079514
885    -0.00515896     -0.0131267     0.00796778
890    -0.00515875     -0.0131431     0.00798432
895    -0.00515851     -0.0131595     0.00800103
900    -0.00515832     -0.0131762     0.00801791
905    -0.00515813     -0.0131931     0.00803496
910     -0.0051579     -0.0132101     0.00805218
915    -0.00515771     -0.0132273     0.00806957
920    -0.00515747     -0.0132446     0.00808713
925    -0.00515723     -0.0132621     0.00810488
930    -0.00515706     -0.0132799      0.0081228
935    -0.00515686     -0.0132978      0.0081409
940    -0.00515674     -0.0133159     0.00815919
945    -0.00515662     -0.0133343     0.00817766
950    -0.00515638     -0.0133527     0.00819632
955    -0.00515618     -0.0133714     0.00821517
960    -0.00515601     -0.0133902     0.00823422
965    -0.00515588     -0.0134093     0.00825345
970    -0.00515576     -0.0134286     0.00827289
975    -0.00515564     -0.0134482     0.00829252
980    -0.00515547     -0.0134678     0.00831236
985    -0.00515529     -0.0134877      0.0083324
990    -0.00515514     -0.0135078     0.00835264
995    -0.00515495      -0.013528      0.0083731
1000    -0.00515476     -0.0135485     0.00839377
1005    -0.00515463     -0.0135693     0.00841465
1010    -0.00515447     -0.0135902     0.00843575
1015    -0.00515428     -0.0136114     0.00845707
1020    -0.00515405     -0.0136327     0.00847862
1025    -0.00515394     -0.0136543     0.00850039
1030    -0.00515375     -0.0136761     0.00852239
1035    -0.00515361     -0.0136982     0.00854463
1040    -0.00515341     -0.0137205      0.0085671
1045    -0.00515323      -0.013743     0.00858981
1050    -0.00515307     -0.0137658     0.00861276
1055    -0.00515291     -0.0137889     0.00863595
1060    -0.00515279     -0.0138122      0.0086594
1065    -0.00515267     -0.0138358      0.0086831
1070    -0.00515256     -0.0138596     0.00870706
1075    -0.00515239     -0.0138837     0.00873127
1080    -0.00515221      -0.013908     0.00875575
1085    -0.00515201     -0.0139325      0.0087805
1090    -0.00515185     -0.0139574     0.00880552
1095    -0.00515166     -0.0139825     0.00883082
1100    -0.00515152     -0.0140079     0.00885639
1105    -0.00515129     -0.0140335     0.00888225
1110    -0.00515115     -0.0140595      0.0089084
1115    -0.00515101     -0.0140858     0.00893484
1120    -0.00515087     -0.0141125     0.00896158
1125    -0.00515072     -0.0141393     0.00898862
1130    -0.00515061     -0.0141666     0.00901597
1135    -0.00515048     -0.0141941     0.00904363
1140    -0.00515027     -0.0142219     0.00907161
1145    -0.00515011       -0.01425     0.00909991
1150    -0.00514994     -0.0142785     0.00912853
1155    -0.00514974     -0.0143072     0.00915749
1160    -0.00514962     -0.0143364     0.00918679
1165    -0.00514948     -0.0143659     0.00921643
1170    -0.00514933     -0.0143958     0.00924643
1175    -0.00514923      -0.014426     0.00927677
1180    -0.00514901     -0.0144565     0.00930748
1185    -0.00514877     -0.0144873     0.00933856
1190    -0.00514859     -0.0145186     0.00937002
1195    -0.00514835     -0.0145502     0.00940185
1200    -0.00514822     -0.0145823     0.00943408
1205      -0.005148     -0.0146147      0.0094667
1210    -0.00514788     -0.0146476     0.00949972
1215    -0.00514765     -0.0146808     0.00953315
1220    -0.00514742     -0.0147144       0.009567
1225    -0.00514735     -0.0147486     0.00960128
1230    -0.00514714     -0.0147831     0.00963599
1235    -0.00514693     -0.0148181     0.00967114
1240    -0.00514675     -0.0148535     0.00970674
1245    -0.00514654     -0.0148893     0.00974281
1250    -0.00514638     -0.0149257     0.00977934
1255    -0.00514622     -0.0149626     0.00981635
1260    -0.00514616         -0.015     0.00985384
1265    -0.00514593     -0.0150378     0.00989184
1270    -0.00514573     -0.0150761     0.00993034
1275     -0.0051455     -0.0151149     0.00996936
1280    -0.00514533     -0.0151542      0.0100089
1285    -0.00514517     -0.0151942       0.010049
1290    -0.00514505     -0.0152347      0.0100896
1295    -0.00514485     -0.0152757      0.0101309
1300    -0.00514468     -0.0153173      0.0101726
1305    -0.00514446     -0.0153595       0.010215
1310    -0.00514435     -0.0154023       0.010258
1315    -0.00514416     -0.0154458      0.0103016
1320    -0.00514408     -0.0154899      0.0103458
1325    -0.00514402     -0.0155347      0.0103907
1330    -0.00514384     -0.0155801      0.0104362
1335    -0.00514364     -0.0156261      0.0104824
1340    -0.00514353     -0.0156729      0.0105294
1345     -0.0051434     -0.0157204       0.010577
1350    -0.00514316     -0.0157685      0.0106253
1355    -0.00514297     -0.0158174      0.0106744
1360    -0.00514275      -0.015867      0.0107243
1365    -0.00514273     -0.0159177      0.0107749
1370    -0.00514258      -0.015969      0.0108264
1375    -0.00514239     -0.0160211      0.0108787
1380    -0.00514224      -0.016074      0.0109318
1385     -0.0051421     -0.0161279      0.0109858
1390    -0.00514194     -0.0161826      0.0110407
1395    -0.00514178     -0.0162383      0.0110965
1400    -0.00514163     -0.0162949      0.0111533
1405    -0.00514149     -0.0163525      0.0112111
1410    -0.00514129     -0.0164111      0.0112698
1415    -0.00514112     -0.0164707      0.0113296
1420    -0.00514097     -0.0165314      0.0113905
1425    -0.00514079     -0.0165932      0.0114524
1430    -0.00514066     -0.0166562      0.0115155
1435    -0.00514044     -0.0167202      0.0115798
1440    -0.00514026     -0.0167855      0.0116452
1445    -0.00514007      -0.016852       0.011712
1450    -0.00513995     -0.0169199        0.01178
1455    -0.00513981     -0.0169892      0.0118493
1460    -0.00513966     -0.0170597      0.0119201
1465    -0.00513941     -0.0171317      0.0119922
1470    -0.00513915      -0.017205      0.0120659
1475      -0.005139     -0.0172801      0.0121411
1480    -0.00513887     -0.0173567      0.0122179
1485    -0.00513865      -0.017435      0.0122963
1490    -0.00513847     -0.0175149      0.0123765
1495    -0.00513823     -0.0175966      0.0124584
1500    -0.00513808     -0.0176803      0.0125422
1505    -0.00513791     -0.0177659       0.012628
1510    -0.00513762     -0.0178534      0.0127158
1515     -0.0051375     -0.0179432      0.0128057
1520    -0.00513733     -0.0180351      0.0128978
1525     -0.0051371     -0.0181293      0.0129922
1530    -0.00513693     -0.0182259       0.013089
1535    -0.00513669     -0.0183251      0.0131884
1540     -0.0051366      -0.018427      0.0132904
1545    -0.00513644     -0.0185317      0.0133952
1550     -0.0051363     -0.0186393       0.013503
1555     -0.0051361       -0.01875      0.0136139
1560    -0.00513592      -0.018864      0.0137281
1565    -0.00513572     -0.0189815      0.0138457
1570     -0.0051355     -0.0191026      0.0139671
1575    -0.00513527     -0.0192276      0.0140923
1580    -0.00513516     -0.0193569      0.0142217
1585    -0.00513499     -0.0194905      0.0143555
1590    -0.00513486      -0.019629      0.0144941
1595    -0.00513462     -0.0197724      0.0146378
1600    -0.00513442     -0.0199213      0.0147869
1605    -0.00513417      -0.020076      0.0149419
1610    -0.00513402     -0.0202372      0.0151032
1615    -0.00513393     -0.0204053      0.0152714
1620    -0.00513367     -0.0205807      0.0154471
1625    -0.00513342     -0.0207643      0.0156309
1630    -0.00513315     -0.0209569      0.0158237
1635    -0.00513305     -0.0211593      0.0160263
1640    -0.00513287     -0.0213725      0.0162396
1645    -0.00513281     -0.0215976      0.0164648
1650    -0.00513272     -0.0218357       0.016703
1655     -0.0051325     -0.0220881      0.0169556
1660    -0.00513233     -0.0223563      0.0172239
1665    -0.00513206     -0.0226412      0.0175091
1670    -0.00513192     -0.0229437      0.0178118
1675     -0.0051317     -0.0232636      0.0181319
1680    -0.00513154     -0.0235982      0.0184667
1685    -0.00513143     -0.0239407      0.0188093
1690    -0.00513141     -0.0242766      0.0191452
1695    -0.00513132     -0.0245798      0.0194485
1700    -0.00513131     -0.0248129      0.0196816
1705    -0.00513119     -0.0249446      0.0198134
1710    -0.00513066     -0.0250044      0.0198737
1715    -0.00512999     -0.0251438      0.0200138
1720    -0.00512973     -0.0255595      0.0204298
1725    -0.00512999     -0.0262667      0.0211367
1730    -0.00513027     -0.0270721      0.0219418
1735    -0.00513025     -0.0277906      0.0226603
1740    -0.00513007     -0.0283488      0.0232188
1745    -0.00512981     -0.0287374      0.0236076
1750    -0.00512936     -0.0289814      0.0238521
1755    -0.00512865     -0.0291817       0.024053
1760    -0.00512814      -0.029527      0.0243988
